Name,Team,Name,Team,Season,IP,Pitches,K%,NameASCII,PlayerId,MLBAMID
"Andrew Abbott","CIN","Andrew Abbott","CIN",2025,166.1,2677,0.21783626,"Andrew Abbott",29911,671096
"Luis Castillo","SEA","Luis Castillo","SEA",2025,180.2,2988,0.21744966,"Luis Castillo",15689,622491
"Drew Rasmussen","TBR","Drew Rasmussen","TBR",2025,150,2316,0.21709402,"Drew Rasmussen",25385,656876
"Zac Gallen","ARI","Zac Gallen","ARI",2025,192,3135,0.21525215,"Zac Gallen",19291,668678
"Matthew Boyd","CHC","Matthew Boyd","CHC",2025,179.2,2747,0.21448468,"Matthew Boyd",15440,571510
"Landen Roupp","SFG","Landen Roupp","SFG",2025,106.2,1851,0.21428571,"Landen Roupp",30076,694738
"Ryan Gusto","- - -","Ryan Gusto","- - -",2025,101.2,1762,0.21412804,"Ryan Gusto",26440,687473
"Ryne Nelson","ARI","Ryne Nelson","ARI",2025,154,2467,0.21324717,"Ryne Nelson",26253,669194
"Tanner Bibee","CLE","Tanner Bibee","CLE",2025,182.1,2971,0.21259843,"Tanner Bibee",30134,676440
"Dustin May","- - -","Dustin May","- - -",2025,132.1,2170,0.21061644,"Dustin May",19716,669160
"José Soriano","LAA","José Soriano","LAA",2025,169,2784,0.20994475,"Jose Soriano",22100,667755
"Taj Bradley","- - -","Taj Bradley","- - -",2025,142.2,2327,0.20991736,"Taj Bradley",22543,671737
"Michael Lorenzen","KCR","Michael Lorenzen","KCR",2025,141.2,2318,0.20957096,"Michael Lorenzen",14843,547179
"David Peterson","NYM","David Peterson","NYM",2025,168.2,2699,0.20746888,"David Peterson",20302,656849
"Justin Verlander","SFG","Justin Verlander","SFG",2025,152,2608,0.20694864,"Justin Verlander",8700,434378
"Shota Imanaga","CHC","Shota Imanaga","CHC",2025,144.2,2178,0.20634921,"Shota Imanaga",33829,684007
"Eduardo Rodriguez","ARI","Eduardo Rodriguez","ARI",2025,154.1,2592,0.20605187,"Eduardo Rodriguez",13164,593958
"Noah Cameron","KCR","Noah Cameron","KCR",2025,138.1,2166,0.20503597,"Noah Cameron",30184,702070
"Seth Lugo","KCR","Seth Lugo","KCR",2025,145.1,2380,0.20458265,"Seth Lugo",12447,607625
"Cade Horton","CHC","Cade Horton","CHC",2025,118,1790,0.20378151,"Cade Horton",31872,690990
"Aaron Civale","- - -","Aaron Civale","- - -",2025,102,1747,0.20229885,"Aaron Civale",19479,650644
"Quinn Priester","MIL","Quinn Priester","MIL",2025,157.1,2469,0.20214395,"Quinn Priester",25977,682990
"JP Sears","- - -","JP Sears","- - -",2025,135.2,2366,0.20068611,"JP Sears",23429,676664
"Dean Kremer","BAL","Dean Kremer","BAL",2025,171.2,2756,0.20056497,"Dean Kremer",19350,665152
"Mitch Keller","PIT","Mitch Keller","PIT",2025,176.1,2871,0.20026702,"Mitch Keller",17594,656605
"Slade Cecconi","CLE","Slade Cecconi","CLE",2025,132,2065,0.2,"Slade Cecconi",27500,677944
"Brad Lord","WSN","Brad Lord","WSN",2025,130.2,2129,0.1978022,"Brad Lord",31972,695418
"José Berríos","TOR","José Berríos","TOR",2025,166,2584,0.19770774,"Jose Berrios",14168,621244
"Patrick Corbin","TEX","Patrick Corbin","TEX",2025,155.1,2589,0.19758673,"Patrick Corbin",9323,571578
"Lucas Giolito","BOS","Lucas Giolito","BOS",2025,145,2372,0.19738989,"Lucas Giolito",15474,608337
"Mike Vasil","CHW","Mike Vasil","CHW",2025,101,1649,0.19385343,"Mike Vasil",30105,678024
"Jeffrey Springs","ATH","Jeffrey Springs","ATH",2025,171,2849,0.19354839,"Jeffrey Springs",17677,605488
"Bryce Elder","ATL","Bryce Elder","ATL",2025,156.1,2515,0.19293078,"Bryce Elder",27779,693821
"Bailey Ober","MIN","Bailey Ober","MIN",2025,146.1,2356,0.19230769,"Bailey Ober",21224,641927
"Colin Rea","CHC","Colin Rea","CHC",2025,159.1,2536,0.1918429,"Colin Rea",12317,607067
"Brandon Pfaadt","ARI","Brandon Pfaadt","ARI",2025,176.2,2923,0.1916558,"Brandon Pfaadt",27782,694297
"Sandy Alcantara","MIA","Sandy Alcantara","MIA",2025,174.2,2893,0.19060403,"Sandy Alcantara",18684,645261
"Jameson Taillon","CHC","Jameson Taillon","CHC",2025,129.2,1979,0.18882466,"Jameson Taillon",11674,592791
"Matthew Liberatore","STL","Matthew Liberatore","STL",2025,151.2,2390,0.1882716,"Matthew Liberatore",22294,669461
"Jonathan Cannon","CHW","Jonathan Cannon","CHW",2025,103.2,1795,0.18454936,"Jonathan Cannon",31730,686563
"Clay Holmes","NYM","Clay Holmes","NYM",2025,165.2,2766,0.18220339,"Clay Holmes",13649,605280
"Clayton Kershaw","LAD","Clayton Kershaw","LAD",2025,112.2,1772,0.18142549,"Clayton Kershaw",2036,477132
"Logan Allen","CLE","Logan Allen","CLE",2025,156.2,2709,0.18047337,"Logan Allen",27589,671106
"Adrian Houser","- - -","Adrian Houser","- - -",2025,125,1892,0.17760618,"Adrian Houser",12718,605288
"Brayan Bello","BOS","Brayan Bello","BOS",2025,166.2,2698,0.17714286,"Brayan Bello",23920,678394
"Michael Wacha","KCR","Michael Wacha","KCR",2025,172.2,2666,0.17597765,"Michael Wacha",14078,608379
"Luis Severino","ATH","Luis Severino","ATH",2025,162.2,2731,0.17588652,"Luis Severino",15890,622663
"Kyle Freeland","COL","Kyle Freeland","COL",2025,162.2,2482,0.17489422,"Kyle Freeland",16256,607536
"Tyler Anderson","LAA","Tyler Anderson","LAA",2025,136.1,2340,0.1736227,"Tyler Anderson",12880,542881
"Davis Martin","CHW","Davis Martin","CHW",2025,142.2,2311,0.17304493,"Davis Martin",21448,663436
"Janson Junk","MIA","Janson Junk","MIA",2025,110,1622,0.17225951,"Janson Junk",23301,676083
"Zack Littell","- - -","Zack Littell","- - -",2025,186.2,2789,0.171278,"Zack Littell",15823,641793
"Nick Martinez","CIN","Nick Martinez","CIN",2025,165.2,2578,0.16983895,"Nick Martinez",12730,607259
"Chris Paddack","- - -","Chris Paddack","- - -",2025,158,2566,0.16716418,"Chris Paddack",20099,663978
"Stephen Kolek","- - -","Stephen Kolek","- - -",2025,112.2,1689,0.1670282,"Stephen Kolek",21487,663568
"Cal Quantrill","- - -","Cal Quantrill","- - -",2025,117.2,2006,0.16569201,"Cal Quantrill",19312,615698
"Kyle Hendricks","LAA","Kyle Hendricks","LAA",2025,164.2,2574,0.16402878,"Kyle Hendricks",12049,543294
"Walker Buehler","- - -","Walker Buehler","- - -",2025,126,2191,0.16283186,"Walker Buehler",19374,621111
"Andrew Heaney","- - -","Andrew Heaney","- - -",2025,122.1,2085,0.16044776,"Andrew Heaney",15423,571760
"Jose Quintana","MIL","Jose Quintana","MIL",2025,131.2,2177,0.16007194,"Jose Quintana",11423,500779
"Taijuan Walker","PHI","Taijuan Walker","PHI",2025,123.2,2062,0.1598513,"Taijuan Walker",11836,592836
"Jake Irvin","WSN","Jake Irvin","WSN",2025,180,2947,0.15756036,"Jake Irvin",21504,663623
"Tomoyuki Sugano","BAL","Tomoyuki Sugano","BAL",2025,157,2568,0.15703704,"Tomoyuki Sugano",35321,608372
"Bailey Falter","- - -","Bailey Falter","- - -",2025,125.1,1952,0.15637066,"Bailey Falter",20070,663559
"Andre Pallante","STL","Andre Pallante","STL",2025,162.2,2722,0.15524476,"Andre Pallante",26108,669467
"Miles Mikolas","STL","Miles Mikolas","STL",2025,156.1,2483,0.14947683,"Miles Mikolas",9803,571945
"Mitchell Parker","WSN","Mitchell Parker","WSN",2025,164.2,2707,0.14206897,"Mitchell Parker",27636,680730
"Jack Kochanowicz","LAA","Jack Kochanowicz","LAA",2025,111,1862,0.140625,"Jack Kochanowicz",27688,686799
"Germán Márquez","COL","Germán Márquez","COL",2025,126.1,2087,0.14043993,"German Marquez",15038,608566
"Randy Vásquez","SDP","Randy Vásquez","SDP",2025,133.2,2149,0.13684211,"Randy Vasquez",24719,681190
"Erick Fedde","- - -","Erick Fedde","- - -",2025,141,2372,0.13322632,"Erick Fedde",17425,607200
"Antonio Senzatela","COL","Antonio Senzatela","COL",2025,130,2286,0.11812298,"Antonio Senzatela",15488,622608
