Name,Team,Name,Team,Season,IP,Pitches,K%,NameASCII,PlayerId,MLBAMID
"Stephen Strasburg","WSN","Stephen Strasburg","WSN",2012,159.1,2607,0.30168453,"Stephen Strasburg",10131,544931
"Max Scherzer","DET","Max Scherzer","DET",2012,187.2,3278,0.2935197,"Max Scherzer",3137,453286
"Yu Darvish","TEX","Yu Darvish","TEX",2012,191.1,3166,0.27083333,"Yu Darvish",13074,506433
"Marco Estrada","MIL","Marco Estrada","MIL",2012,138.1,2246,0.2544484,"Marco Estrada",1118,462136
"Clayton Kershaw","LAD","Clayton Kershaw","LAD",2012,227.2,3469,0.25416204,"Clayton Kershaw",2036,477132
"Gio Gonzalez","WSN","Gio Gonzalez","WSN",2012,199.1,3198,0.25182482,"Gio Gonzalez",7448,461829
"Mike Fiers","MIL","Mike Fiers","MIL",2012,127.2,2152,0.25046382,"Mike Fiers",7754,571666
"Justin Verlander","DET","Justin Verlander","DET",2012,238.1,3768,0.25,"Justin Verlander",8700,434378
"Cole Hamels","PHI","Cole Hamels","PHI",2012,215.1,3316,0.24913495,"Cole Hamels",4972,430935
"Jeff Samardzija","CHC","Jeff Samardzija","CHC",2012,174.2,2767,0.24896266,"Jeff Samardzija",3254,502188
"Chris Sale","CHW","Chris Sale","CHW",2012,192,3019,0.24870466,"Chris Sale",10603,519242
"R.A. Dickey","NYM","R.A. Dickey","NYM",2012,233.2,3359,0.24811219,"R.A. Dickey",1245,285079
"David Price","TBR","David Price","TBR",2012,211,3332,0.24521531,"David Price",3184,456034
"Cliff Lee","PHI","Cliff Lee","PHI",2012,211,3099,0.24439197,"Cliff Lee",1636,424324
"Lance Lynn","STL","Lance Lynn","STL",2012,176,3002,0.24193548,"Lance Lynn",2520,458681
"Francisco Liriano","- - -","Francisco Liriano","- - -",2012,156.2,2715,0.24098124,"Francisco Liriano",3201,434538
"Félix Hernández","SEA","Félix Hernández","SEA",2012,232,3420,0.23748669,"Felix Hernandez",4772,433587
"Yovani Gallardo","MIL","Yovani Gallardo","MIL",2012,204,3479,0.2372093,"Yovani Gallardo",8173,451596
"CC Sabathia","NYY","CC Sabathia","NYY",2012,200,3028,0.2364946,"CC Sabathia",404,282332
"James Shields","TBR","James Shields","TBR",2012,227.2,3617,0.23622881,"James Shields",7059,448306
"Felix Doubront","BOS","Felix Doubront","BOS",2012,161,2868,0.23554302,"Felix Doubront",1478,467094
"Carlos Villanueva","TOR","Carlos Villanueva","TOR",2012,125.1,2014,0.23416507,"Carlos Villanueva",4138,453646
"Kris Medlen","ATL","Kris Medlen","ATL",2012,138,1885,0.23076923,"Kris Medlen",9417,450665
"Matt Moore","TBR","Matt Moore","TBR",2012,177.1,3023,0.23056653,"Matt Moore",1890,519043
"Zack Greinke","- - -","Zack Greinke","- - -",2012,212.1,3383,0.23041475,"Zack Greinke",1943,425844
"Tim Lincecum","SFG","Tim Lincecum","SFG",2012,186,3299,0.23030303,"Tim Lincecum",5705,453311
"J.A. Happ","- - -","J.A. Happ","- - -",2012,144.2,2538,0.22966507,"J.A. Happ",7410,457918
