Name,Team,Name,Team,Season,IP,Pitches,K%,NameASCII,PlayerId,MLBAMID
"Jason Hammel","BAL","Jason Hammel","BAL",2012,118,1932,0.22920892,"Jason Hammel",4538,434628
"Matt Garza","CHC","Matt Garza","CHC",2012,103.2,1699,0.22641509,"Matt Garza",3340,490063
"Bud Norris","HOU","Bud Norris","HOU",2012,168.1,2819,0.22510232,"Bud Norris",9492,502032
"Madison Bumgarner","SFG","Madison Bumgarner","SFG",2012,208.1,3269,0.22497055,"Madison Bumgarner",5524,518516
"Johan Santana","NYM","Johan Santana","NYM",2012,117,1940,0.22244489,"Johan Santana",755,276371
"Adam Wainwright","STL","Adam Wainwright","STL",2012,198.2,3091,0.22141998,"Adam Wainwright",2233,425794
"Matt Cain","SFG","Matt Cain","SFG",2012,219.1,3345,0.22031963,"Matt Cain",4732,430912
"Jake Peavy","CHW","Jake Peavy","CHW",2012,219,3486,0.21995465,"Jake Peavy",1051,408241
"Jake Arrieta","BAL","Jake Arrieta","BAL",2012,114.2,1956,0.21975806,"Jake Arrieta",4153,453562
"Colby Lewis","TEX","Colby Lewis","TEX",2012,105,1627,0.21779859,"Colby Lewis",1259,407890
"Edinson Volquez","SDP","Edinson Volquez","SDP",2012,182.2,3221,0.21695761,"Edinson Volquez",3990,450172
"Mat Latos","CIN","Mat Latos","CIN",2012,209.1,3271,0.21561772,"Mat Latos",3815,502009
"Brandon Morrow","TOR","Brandon Morrow","TOR",2012,124.2,1970,0.21428571,"Brandon Morrow",9346,453344
"Ryan Dempster","- - -","Ryan Dempster","- - -",2012,173,2748,0.21338912,"Ryan Dempster",517,133225
"Edwin Jackson","WSN","Edwin Jackson","WSN",2012,189.2,2968,0.21265823,"Edwin Jackson",1841,429719
"Erik Bedard","PIT","Erik Bedard","PIT",2012,125.2,2134,0.21184919,"Erik Bedard",126,407853
"James McDonald","PIT","James McDonald","PIT",2012,171,2802,0.21178121,"James McDonald",5523,457428
"Tommy Hanson","ATL","Tommy Hanson","ATL",2012,174.2,2916,0.21156373,"Tommy Hanson",9129,462102
"A.J. Burnett","PIT","A.J. Burnett","PIT",2012,202.1,3042,0.21151586,"A.J. Burnett",512,150359
"Dillon Gee","NYM","Dillon Gee","NYM",2012,109.2,1752,0.20950324,"Dillon Gee",7396,518716
"Ian Kennedy","ARI","Ian Kennedy","ARI",2012,208.1,3380,0.2080089,"Ian Kennedy",6986,453178
"Shaun Marcum","MIL","Shaun Marcum","MIL",2012,124,2069,0.20683112,"Shaun Marcum",6204,451788
"Josh Johnson","MIA","Josh Johnson","MIA",2012,191.1,3145,0.20676692,"Josh Johnson",4567,435178
"Joe Blanton","- - -","Joe Blanton","- - -",2012,191,2927,0.20595533,"Joe Blanton",4849,430599
"Iván Nova","NYY","Iván Nova","NYY",2012,170.1,2691,0.20454545,"Ivan Nova",1994,467100
"Roy Halladay","PHI","Roy Halladay","PHI",2012,156.1,2388,0.20433437,"Roy Halladay",1303,136880
"Aníbal Sánchez","- - -","Aníbal Sánchez","- - -",2012,195.2,3057,0.20365854,"Anibal Sanchez",3284,434671
"Doug Fister","DET","Doug Fister","DET",2012,161.2,2517,0.20356612,"Doug Fister",9425,450729
"Zach McAllister","CLE","Zach McAllister","CLE",2012,125.1,2119,0.20257827,"Zach McAllister",2895,502083
"Phil Hughes","NYY","Phil Hughes","NYY",2012,191.1,3219,0.20245399,"Phil Hughes",7450,461833
"Chad Billingsley","LAD","Chad Billingsley","LAD",2012,149.2,2381,0.20189274,"Chad Billingsley",5842,451532
"Ryan Vogelsong","SFG","Ryan Vogelsong","SFG",2012,189.2,3056,0.20050761,"Ryan Vogelsong",1011,285064
"C.J. Wilson","LAA","C.J. Wilson","LAA",2012,202.1,3442,0.2,"C.J. Wilson",3580,450351
"Mike Minor","ATL","Mike Minor","ATL",2012,179.1,2863,0.19917582,"Mike Minor",10021,501985
"Gavin Floyd","CHW","Gavin Floyd","CHW",2012,168,2758,0.19889503,"Gavin Floyd",3886,425856
"Derek Holland","TEX","Derek Holland","TEX",2012,175.1,2756,0.19863014,"Derek Holland",4141,502706
"Chris Capuano","LAD","Chris Capuano","LAD",2012,198.1,2976,0.19828641,"Chris Capuano",1701,425626
"Jonathon Niese","NYM","Jonathon Niese","NYM",2012,190.1,3029,0.19670051,"Jonathon Niese",4424,477003
"Hisashi Iwakuma","SEA","Hisashi Iwakuma","SEA",2012,125.1,1916,0.19460501,"Hisashi Iwakuma",13048,547874
"Freddy Garcia","NYY","Freddy Garcia","NYY",2012,107.1,1767,0.19305857,"Freddy Garcia",1077,150119
"Homer Bailey","CIN","Homer Bailey","CIN",2012,208,3334,0.19221968,"Homer Bailey",8362,456701
"Jered Weaver","LAA","Jered Weaver","LAA",2012,188.2,2859,0.19215156,"Jered Weaver",4235,450308
"Johnny Cueto","CIN","Johnny Cueto","CIN",2012,217,3449,0.19144144,"Johnny Cueto",6893,456501
"Jaime García","STL","Jaime García","STL",2012,121.2,1757,0.19029126,"Jaime Garcia",8137,448802
"Dan Haren","LAA","Dan Haren","LAA",2012,176.2,2849,0.19009371,"Dan Haren",1757,429717
"Jordan Zimmermann","WSN","Jordan Zimmermann","WSN",2012,195.2,3089,0.19006211,"Jordan Zimmermann",4505,519455
"Jon Lester","BOS","Jon Lester","BOS",2012,205.1,3424,0.18949772,"Jon Lester",4930,452657
"Patrick Corbin","ARI","Patrick Corbin","ARI",2012,107,1597,0.18942731,"Patrick Corbin",9323,571578
"Wei-Yin Chen","BAL","Wei-Yin Chen","BAL",2012,192.2,3137,0.18826406,"Wei-Yin Chen",13071,612672
"Hiroki Kuroda","NYY","Hiroki Kuroda","NYY",2012,219.2,3330,0.18742985,"Hiroki Kuroda",3283,493133
"Jarrod Parker","OAK","Jarrod Parker","OAK",2012,181.1,2830,0.18641811,"Jarrod Parker",4913,519105
"Alex Cobb","TBR","Alex Cobb","TBR",2012,136.1,2169,0.18629174,"Alex Cobb",6562,502171
"Trevor Cahill","ARI","Trevor Cahill","ARI",2012,200,3172,0.18593564,"Trevor Cahill",6249,502239
"Philip Humber","CHW","Philip Humber","CHW",2012,102,1767,0.18398268,"Philip Humber",8586,458950
"Travis Wood","CHC","Travis Wood","CHC",2012,156,2499,0.18335901,"Travis Wood",9884,475243
"Vance Worley","PHI","Vance Worley","PHI",2012,133,2192,0.18135593,"Vance Worley",6435,474699
"Josh Beckett","- - -","Josh Beckett","- - -",2012,170.1,2630,0.18082192,"Josh Beckett",510,277417
"Luke Hochevar","KCR","Luke Hochevar","KCR",2012,185.1,3007,0.18,"Luke Hochevar",6943,460024
"Scott Feldman","TEX","Scott Feldman","TEX",2012,123.2,2106,0.17910448,"Scott Feldman",6283,444857
"Wade Miley","ARI","Wade Miley","ARI",2012,194.2,3002,0.17843866,"Wade Miley",8779,489119
"Paul Maholm","- - -","Paul Maholm","- - -",2012,189,2971,0.17811705,"Paul Maholm",8678,430904
"Ubaldo Jiménez","CLE","Ubaldo Jiménez","CLE",2012,176.2,3123,0.17763975,"Ubaldo Jimenez",3374,434622
"Miguel González","BAL","Miguel González","BAL",2012,105.1,1686,0.17741935,"Miguel Gonzalez",7024,456068
"Justin Masterson","CLE","Justin Masterson","CLE",2012,206.1,3426,0.17549669,"Justin Masterson",2038,475416
"Ervin Santana","LAA","Ervin Santana","LAA",2012,178,2859,0.17408377,"Ervin Santana",3200,429722
"Tommy Milone","OAK","Tommy Milone","OAK",2012,190,3033,0.17319848,"Tommy Milone",7608,543548
"Kyle Kendrick","PHI","Kyle Kendrick","PHI",2012,159.1,2511,0.17210682,"Kyle Kendrick",6230,452718
"Jerome Williams","LAA","Jerome Williams","LAA",2012,137.2,2035,0.17132867,"Jerome Williams",1137,425532
"Bruce Chen","KCR","Bruce Chen","KCR",2012,191.2,3193,0.16928658,"Bruce Chen",769,136600
"Lucas Harrell","HOU","Lucas Harrell","HOU",2012,193.2,3188,0.16928658,"Lucas Harrell",7541,449173
"Jeremy Hellickson","TBR","Jeremy Hellickson","TBR",2012,177,2994,0.16734143,"Jeremy Hellickson",4371,476451
"Aaron Harang","LAD","Aaron Harang","LAD",2012,179.2,3096,0.16666667,"Aaron Harang",1451,421685
"Kyle Lohse","STL","Kyle Lohse","STL",2012,211,3127,0.16550926,"Kyle Lohse",739,346798
"Joe Kelly","STL","Joe Kelly","STL",2012,107,1695,0.16411379,"Joe Kelly",9761,523260
"Chris Young","NYM","Chris Young","NYM",2012,115,1847,0.16227181,"Chris Young",3196,432934
"Jason Marquis","- - -","Jason Marquis","- - -",2012,127.2,2046,0.16221034,"Jason Marquis",105,150302
"Clay Buchholz","BOS","Clay Buchholz","BOS",2012,189.1,2900,0.16084788,"Clay Buchholz",3543,453329
"Carlos Zambrano","MIA","Carlos Zambrano","MIA",2012,132.1,2294,0.1607445,"Carlos Zambrano",305,407296
"Travis Blackley","- - -","Travis Blackley","- - -",2012,107.2,1661,0.15990991,"Travis Blackley",3234,429715
"Jason Vargas","SEA","Jason Vargas","SEA",2012,217.1,3354,0.1589628,"Jason Vargas",8044,450306
"Wandy Rodriguez","- - -","Wandy Rodriguez","- - -",2012,205.2,3204,0.15885714,"Wandy Rodriguez",2586,434643
"Jordan Lyles","HOU","Jordan Lyles","HOU",2012,141.1,2364,0.15764331,"Jordan Lyles",7593,543475
"Brandon McCarthy","OAK","Brandon McCarthy","OAK",2012,111,1652,0.15565032,"Brandon McCarthy",4662,435221
"Kevin Millwood","SEA","Kevin Millwood","SEA",2012,161,2596,0.15529753,"Kevin Millwood",106,119154
"Bronson Arroyo","CIN","Bronson Arroyo","CIN",2012,202,2958,0.15449102,"Bronson Arroyo",978,276520
"Mike Leake","CIN","Mike Leake","CIN",2012,179,2714,0.15323646,"Mike Leake",10130,502190
"Ross Detwiler","WSN","Ross Detwiler","WSN",2012,164.1,2541,0.15306122,"Ross Detwiler",2859,446321
"Matt Harrison","TEX","Matt Harrison","TEX",2012,213.1,3247,0.15182648,"Matt Harrison",5551,457448
"Jeff Francis","COL","Jeff Francis","COL",2012,113,1858,0.15139442,"Jeff Francis",4684,433585
"Mark Buehrle","MIA","Mark Buehrle","MIA",2012,202.1,3061,0.15096618,"Mark Buehrle",225,279824
"Joe Saunders","- - -","Joe Saunders","- - -",2012,174.2,2709,0.15033557,"Joe Saunders",4366,434578
"Ricky Nolasco","MIA","Ricky Nolasco","MIA",2012,191,2972,0.15024038,"Ricky Nolasco",3830,445060
"Hector Noesí","SEA","Hector Noesí","SEA",2012,106.2,1707,0.15011038,"Hector Noesi",3292,456051
"Ricky Romero","TOR","Ricky Romero","TOR",2012,181,3084,0.1495778,"Ricky Romero",3403,460069
"Randy Wolf","- - -","Randy Wolf","- - -",2012,157.2,2710,0.14878398,"Randy Wolf",976,150116
"Nathan Eovaldi","- - -","Nathan Eovaldi","- - -",2012,119.1,2066,0.14828897,"Nathan Eovaldi",9132,543135
"Luis Mendoza","KCR","Luis Mendoza","KCR",2012,166,2532,0.14668547,"Luis Mendoza",3126,434669
"Brian Duensing","MIN","Brian Duensing","MIN",2012,109,1706,0.14618644,"Brian Duensing",4064,488846
"Bartolo Colon","OAK","Bartolo Colon","OAK",2012,152.1,2141,0.14308176,"Bartolo Colon",375,112526
"Barry Zito","SFG","Barry Zito","SFG",2012,184.1,3068,0.14267835,"Barry Zito",944,217096
"Jose Quintana","CHW","Jose Quintana","CHW",2012,136.1,2168,0.14260563,"Jose Quintana",11423,500779
"Jake Westbrook","STL","Jake Westbrook","STL",2012,174.2,2678,0.14114514,"Jake Westbrook",412,150414
"Rick Porcello","DET","Rick Porcello","DET",2012,176.1,2828,0.1366539,"Rick Porcello",2717,519144
"Tim Hudson","ATL","Tim Hudson","ATL",2012,179,2623,0.13618158,"Tim Hudson",921,218596
"Tommy Hunter","BAL","Tommy Hunter","BAL",2012,133.2,2079,0.13438045,"Tommy Hunter",1157,488984
"Jeremy Guthrie","- - -","Jeremy Guthrie","- - -",2012,181.2,2922,0.12817259,"Jeremy Guthrie",2072,425386
"Scott Diamond","MIN","Scott Diamond","MIN",2012,173,2520,0.12605042,"Scott Diamond",5089,539438
"Josh Tomlin","CLE","Josh Tomlin","CLE",2012,103.1,1610,0.12389381,"Josh Tomlin",9388,458708
"Kevin Correia","PIT","Kevin Correia","PIT",2012,171,2565,0.12225275,"Kevin Correia",1767,429781
"Chris Volstad","CHC","Chris Volstad","CHC",2012,111.1,1891,0.12031558,"Chris Volstad",9901,458690
"Clayton Richard","SDP","Clayton Richard","SDP",2012,218.2,3166,0.11758242,"Clayton Richard",3551,453385
"Aaron Laffey","TOR","Aaron Laffey","TOR",2012,100.2,1558,0.11188811,"Aaron Laffey",6248,444836
"Blake Beavan","SEA","Blake Beavan","SEA",2012,152.1,2303,0.10501567,"Blake Beavan",338,518444
"Henderson Alvarez","TOR","Henderson Alvarez","TOR",2012,187.1,2865,0.09789343,"Henderson Alvarez",5669,506693
"Derek Lowe","- - -","Derek Lowe","- - -",2012,142.2,2338,0.0859375,"Derek Lowe",199,117955
