Season,Name,Team,Name,Team,Season,IP,Pitches,K%,NameASCII,PlayerId,MLBAMID
2002,"Jeff Weaver","- - -","Jeff Weaver","- - -",2002,199.2,3097,0.15714286,"Jeff Weaver",503,213711
2002,"Josh Beckett","FLA","Josh Beckett","FLA",2002,107.2,1787,0.24889868,"Josh Beckett",510,277417
2002,"A.J. Burnett","FLA","A.J. Burnett","FLA",2002,204.1,3265,0.24052133,"A.J. Burnett",512,150359
2002,"Ryan Dempster","- - -","Ryan Dempster","- - -",2002,209,3348,0.16721311,"Ryan Dempster",517,133225
2002,"Brad Penny","FLA","Brad Penny","FLA",2002,129.1,2091,0.16202091,"Brad Penny",535,207267
2002,"Julian Tavarez","FLA","Julian Tavarez","FLA",2002,153.2,2599,0.09383754,"Julian Tavarez",541,123118
2002,"Michael Tejera","FLA","Michael Tejera","FLA",2002,139.2,2343,0.15548282,"Michael Tejera",542,150373
2002,"Carlos Hernández","HOU","Carlos Hernández","HOU",2002,111,1936,0.18787879,"Carlos Hernandez",560,400056
2002,"Wade Miller","HOU","Wade Miller","HOU",2002,164.2,2571,0.20930233,"Wade Miller",568,150063
2002,"Roy Oswalt","HOU","Roy Oswalt","HOU",2002,233,3428,0.21757322,"Roy Oswalt",571,400061
2002,"Miguel Asencio","KCR","Miguel Asencio","KCR",2002,123.1,2135,0.10412926,"Miguel Asencio",586,407900
2002,"Paul Byrd","KCR","Paul Byrd","KCR",2002,228.1,3220,0.13796791,"Paul Byrd",594,111838
2002,"Darrell May","KCR","Darrell May","KCR",2002,131.1,2199,0.16407599,"Darrell May",613,118469
2002,"Jeff Suppan","KCR","Jeff Suppan","KCR",2002,208,3446,0.11951754,"Jeff Suppan",633,122987
2002,"Andy Ashby","LAD","Andy Ashby","LAD",2002,181.2,2739,0.1387808,"Andy Ashby",637,110351
2002,"Omar Daal","LAD","Omar Daal","LAD",2002,161.1,2397,0.15718563,"Omar Daal",646,112984
2002,"Kaz Ishii","LAD","Kaz Ishii","LAD",2002,154,2713,0.2066474,"Kaz Ishii",655,408193
2002,"Hideo Nomo","LAD","Hideo Nomo","LAD",2002,220.1,3468,0.20842333,"Hideo Nomo",666,119827
2002,"Odalis Perez","LAD","Odalis Perez","LAD",2002,222.1,3027,0.17836594,"Odalis Perez",668,136602
2002,"Jose Cabrera","MIL","Jose Cabrera","MIL",2002,103.1,1809,0.12869198,"Jose Cabrera",679,111850
2002,"Ruben Quevedo","MIL","Ruben Quevedo","MIL",2002,139,2389,0.1466877,"Ruben Quevedo",705,275935
2002,"Glendon Rusch","MIL","Glendon Rusch","MIL",2002,210.2,3619,0.15334064,"Glendon Rusch",707,121556
2002,"Ben Sheets","MIL","Ben Sheets","MIL",2002,216.2,3515,0.18201285,"Ben Sheets",710,282656
2002,"Jamey Wright","- - -","Jamey Wright","- - -",2002,129.1,2112,0.13162393,"Jamey Wright",715,124604
2002,"Kyle Lohse","MIN","Kyle Lohse","MIN",2002,180.2,2984,0.15836526,"Kyle Lohse",739,346798
2002,"Eric Milton","MIN","Eric Milton","MIN",2002,171,2704,0.17114569,"Eric Milton",743,132980
2002,"Brad Radke","MIN","Brad Radke","MIN",2002,118.1,1729,0.12653061,"Brad Radke",748,120878
2002,"Rick Reed","MIN","Rick Reed","MIN",2002,188,2846,0.15552699,"Rick Reed",750,120999
2002,"Johan Santana","MIN","Johan Santana","MIN",2002,108.1,1842,0.30309735,"Johan Santana",755,276371
2002,"Tony Armas","MON","Tony Armas","MON",2002,164.1,2723,0.1858156,"Tony Armas",761,150393
2002,"Tomo Ohka","MON","Tomo Ohka","MON",2002,192.2,2863,0.14640199,"Tomo Ohka",788,219594
2002,"Carl Pavano","- - -","Carl Pavano","- - -",2002,136,2173,0.14862682,"Carl Pavano",790,134321
2002,"Javier Vazquez","MON","Javier Vazquez","MON",2002,230.1,3558,0.18434604,"Javier Vazquez",801,134320
2002,"Masato Yoshii","MON","Masato Yoshii","MON",2002,131.1,1871,0.13381555,"Masato Yoshii",807,134180
2002,"Roger Clemens","NYY","Roger Clemens","NYY",2002,180,3003,0.25,"Roger Clemens",815,112388
2002,"Orlando Hernandez","NYY","Orlando Hernandez","NYY",2002,146,2308,0.18646865,"Orlando Hernandez",823,133340
2002,"Ted Lilly","- - -","Ted Lilly","- - -",2002,100,1536,0.18644068,"Ted Lilly",833,150404
2002,"Mike Mussina","NYY","Mike Mussina","NYY",2002,215.2,3353,0.20541761,"Mike Mussina",837,119608
2002,"Andy Pettitte","NYY","Andy Pettitte","NYY",2002,134.2,2129,0.17017544,"Andy Pettitte",840,120485
2002,"David Wells","NYY","David Wells","NYY",2002,206.1,3137,0.15693013,"David Wells",855,124071
2002,"Pedro Astacio","NYM","Pedro Astacio","NYM",2002,191.2,3003,0.18357488,"Pedro Astacio",862,110359
2002,"Jeff D'Amico","NYM","Jeff D'Amico","NYM",2002,145.2,2313,0.1626409,"Jeff D'Amico",871,113026
2002,"Shawn Estes","- - -","Shawn Estes","- - -",2002,160.2,2737,0.15287518,"Shawn Estes",873,113915
2002,"Al Leiter","NYM","Al Leiter","NYM",2002,204.1,3415,0.19815668,"Al Leiter",883,117652
2002,"Steve Trachsel","NYM","Steve Trachsel","NYM",2002,173.2,2853,0.1417004,"Steve Trachsel",898,123431
2002,"Tim Hudson","OAK","Tim Hudson","OAK",2002,238.1,3455,0.15462869,"Tim Hudson",921,218596
2002,"Cory Lidle","OAK","Cory Lidle","OAK",2002,192,2873,0.13944724,"Cory Lidle",926,117756
2002,"Mark Mulder","OAK","Mark Mulder","OAK",2002,207.1,3013,0.18445476,"Mark Mulder",932,150426
2002,"Barry Zito","OAK","Barry Zito","OAK",2002,229.1,3702,0.19382322,"Barry Zito",944,217096
2002,"Terry Adams","PHI","Terry Adams","PHI",2002,136.2,2203,0.16271186,"Terry Adams",946,110067
2002,"Brandon Duckworth","PHI","Brandon Duckworth","PHI",2002,163,2889,0.23034483,"Brandon Duckworth",954,346855
2002,"Vicente Padilla","PHI","Vicente Padilla","PHI",2002,206,3042,0.14849188,"Vicente Padilla",964,218894
2002,"Randy Wolf","PHI","Randy Wolf","PHI",2002,210.2,3207,0.20116959,"Randy Wolf",976,150116
2002,"Jimmy Anderson","PIT","Jimmy Anderson","PIT",2002,140.2,2247,0.07389937,"Jimmy Anderson",977,150247
2002,"Kris Benson","PIT","Kris Benson","PIT",2002,130.1,2086,0.13715278,"Kris Benson",982,150249
2002,"Josh Fogg","PIT","Josh Fogg","PIT",2002,194.1,2953,0.13581731,"Josh Fogg",989,150319
2002,"Kip Wells","PIT","Kip Wells","PIT",2002,198.1,3088,0.15857988,"Kip Wells",1012,150337
2002,"Bobby Jones","SDP","Bobby Jones","SDP",2002,108,1698,0.12631579,"Bobby Jones",1039,116717
2002,"Brian Lawrence","SDP","Brian Lawrence","SDP",2002,210,3105,0.16666667,"Brian Lawrence",1045,400147
2002,"Brett Tomko","SDP","Brett Tomko","SDP",2002,204.1,3072,0.14466131,"Brett Tomko",1056,123387
2002,"James Baldwin","SEA","James Baldwin","SEA",2002,150,2301,0.13293051,"James Baldwin",1064,110503
2002,"Ryan Franklin","SEA","Ryan Franklin","SEA",2002,118.2,1749,0.13131313,"Ryan Franklin",1076,211041
2002,"Freddy Garcia","SEA","Freddy Garcia","SEA",2002,223.2,3610,0.1895288,"Freddy Garcia",1077,150119
2002,"John Halama","SEA","John Halama","SEA",2002,101,1604,0.15981735,"John Halama",1080,134280
2002,"Jamie Moyer","SEA","Jamie Moyer","SEA",2002,230.2,3447,0.15789474,"Jamie Moyer",1091,119469
2002,"Joel Pineiro","SEA","Joel Pineiro","SEA",2002,194.1,3095,0.16748768,"Joel Pineiro",1094,334492
2002,"Livan Hernandez","SFG","Livan Hernandez","SFG",2002,216,3476,0.14549403,"Livan Hernandez",1116,115817
2002,"Ryan Jensen","SFG","Ryan Jensen","SFG",2002,171.2,2765,0.14112903,"Ryan Jensen",1117,276528
2002,"Russ Ortiz","SFG","Russ Ortiz","SFG",2002,214.1,3599,0.15038419,"Russ Ortiz",1124,133460
2002,"Kirk Rueter","SFG","Kirk Rueter","SFG",2002,203.2,3269,0.08983452,"Kirk Rueter",1128,121541
2002,"Jason Schmidt","SFG","Jason Schmidt","SFG",2002,185.1,3032,0.25487646,"Jason Schmidt",1131,121834
2002,"Matt Morris","STL","Matt Morris","STL",2002,210.1,3208,0.19213483,"Matt Morris",1172,119403
2002,"Jason Simontacchi","STL","Jason Simontacchi","STL",2002,143.1,2184,0.12,"Jason Simontacchi",1181,421004
2002,"Woody Williams","STL","Woody Williams","STL",2002,103.1,1569,0.18446602,"Woody Williams",1190,124315
2002,"Joe Kennedy","TBD","Joe Kennedy","TBD",2002,196.2,3107,0.1297619,"Joe Kennedy",1217,406773
2002,"Tanyon Sturtze","TBD","Tanyon Sturtze","TBD",2002,224,3579,0.1359127,"Tanyon Sturtze",1230,122915
2002,"Paul Wilson","TBD","Paul Wilson","TBD",2002,193.2,3115,0.13043478,"Paul Wilson",1234,124417
2002,"Victor Zambrano","TBD","Victor Zambrano","TBD",2002,114,1911,0.14065511,"Victor Zambrano",1237,406913
2002,"Dave Burba","- - -","Dave Burba","- - -",2002,145.1,2418,0.14705882,"Dave Burba",1239,111692
2002,"Chan Ho Park","TEX","Chan Ho Park","TEX",2002,145.2,2545,0.18168168,"Chan Ho Park",1267,120221
2002,"Kenny Rogers","TEX","Kenny Rogers","TEX",2002,210.2,3332,0.11995516,"Kenny Rogers",1277,121386
2002,"Ismael Valdez","- - -","Ismael Valdez","- - -",2002,196,2959,0.12469438,"Ismael Valdez",1283,123595
2002,"Roy Halladay","TOR","Roy Halladay","TOR",2002,239.1,3509,0.16918429,"Roy Halladay",1303,136880
2002,"Esteban Loaiza","TOR","Esteban Loaiza","TOR",2002,151.1,2345,0.12985075,"Esteban Loaiza",1310,117842
2002,"Justin Miller","TOR","Justin Miller","TOR",2002,102.1,1773,0.14498934,"Justin Miller",1313,277405
2002,"Pete Walker","- - -","Pete Walker","- - -",2002,140.1,2248,0.13355593,"Pete Walker",1325,123839
2002,"John Lackey","ANA","John Lackey","ANA",2002,108.1,1774,0.1483871,"John Lackey",1507,407793
2002,"Mike Maroth","DET","Mike Maroth","DET",2002,128.2,1990,0.10780669,"Mike Maroth",1508,400077
2003,"Kevin Appier","- - -","Kevin Appier","- - -",2003,111.2,2006,0.11022044,"Kevin Appier",3,110293
